claimText,claimant,claimDate,publisher,site,reviewUrl,reviewTitle,reviewDate,textualRating
Electric vehicles cause infertility. Being in an electric car will lower your testosterone.,Human Garage,2025-02-07T00:00:00Z,Science Feedback,science.feedback.org,https://science.feedback.org/review/no-evidence-that-evs-cause-infertility/,"No evidence that EVs cause infertility, and their magnetic fields are similar to those from household electronics",2025-02-25T00:00:00Z,Unsupported
Video shows an electric vehicle explosion,Social Media User,2025-02-02T00:00:00Z,FACTLY,factly.in,https://factly.in/a-video-of-a-scooter-explosion-caused-by-firecrackers-is-falsely-shared-as-related-to-an-electric-vehicle-blast/,A video of a scooter explosion caused by firecrackers is falsely shared as related to an electric vehicle blast,2025-02-07T00:00:00Z,FALSE
A video shared on Facebook claims to show an electrical vehicle explosion in India.,Viral Video,2025-01-04T00:00:00Z,CheckYourFact,checkyourfact.com,https://checkyourfact.com/2025/01/13/fact-check-car-explosion-russia-india/,"FACT CHECK: Car Explosion Is From Russia, Not India",2025-01-13T16:29:01Z,False
"Video shows an electric (EV) car exploding in Uttar Pradesh, India.",Social Media User,2025-01-06T00:00:00Z,FACTLY,factly.in,https://factly.in/a-video-showing-a-car-bomb-explosion-in-crimea-is-being-falsely-shared-as-an-ev-car-explosion-in-uttar-pradesh/,A video showing a car bomb explosion in Crimea is being falsely shared as an EV car blast in Uttar Pradesh,2025-01-09T00:00:00Z,FALSE
EV Car blast in UP.,Social media user,2025-01-07T00:00:00Z,NewsMobile,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-video-of-crimea-car-explosion-viral-as-ev-blast-in-indias-uttar-pradesh/,Fact Check: Video Of Crimea Car Explosion Viral As EV Blast In India’s Uttar Pradesh,2025-01-09T00:00:00Z,False
Video shows EV exploding in Uttar Pradesh.,"Facebook,Twitter",2025-01-08T07:05:21Z,The Quint,thequint.com,https://www.thequint.com/news/webqoof/car-blast-video-crimea-russia-not-ev-car-blowing-up-fact-check,Video of Car Bomb Blast in Crimea Falsely Shared as EV Blast in Uttar Pradesh,2025-01-08T07:05:21Z,False
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KHOU,khou.com,https://www.khou.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KREM,krem.com,https://www.krem.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KSDK,ksdk.com,https://www.ksdk.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KTVB,ktvb.com,https://www.ktvb.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WBIR,wbir.com,https://www.wbir.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WFAA,wfaa.com,https://www.wfaa.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WKYC,wkyc.com,https://www.wkyc.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WLTX,wltx.com,https://www.wltx.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
