videoId,title,publishedAt
T7fGDw7U2Wg,The hidden costs of owning electric cars,2024-01-05T04:35:40Z
Iyp_X3mwE1w,A Complete Beginner&#39;s Guide to Electric Vehicles,2022-09-09T16:34:24Z
EK1Y9MRp1yw,Regretting Electric Vehicles: Why Most Prefer Gas Guzzlers,2024-08-07T14:15:01Z
nE_-wilGupQ,"China&#39;s leading electric vehicle maker selling cars for $10,000",2024-05-07T01:30:18Z
VhUpWqmYxi4,The $900 Car You Can Order Online,2022-12-29T22:13:15Z
XxrHGerqvac,The GMC Hummer EV is officially the craziest thing I’ve ever filmed. 😲,2022-11-13T14:58:25Z
-GzASopTqRg,"If secret agents had an EV, it would be this Aptera! 😎",2023-10-26T17:39:06Z
-HjCRv_nvXs,Electric Vehicle Myth Busting,2024-08-16T16:52:46Z
0z7psa4SF9I,2025 Kia EV9 vs 2025 Ford Explorer Electric | EV SUV Showdown,2025-04-20T12:23:08Z
HV-fQw2q92Q,Gas vs Hybrid vs Plug-in vs Electric - What&#39;s The Difference?,2024-10-11T14:00:20Z
BIvVBWykZ5s,BYD Seal | The Ultimate Electric Car ?,2023-10-17T19:18:26Z
ii1je2_q7VA,The BYD Yangwang U9 is a wild EV with a crazy secrets 🚗⚡🇨🇳,2024-08-27T02:52:58Z
xNZR4wB-T80,Electric Cars For DUMMIES: Absolutely EVerything Explained,2024-09-07T13:00:58Z
i1Osr2wQp_E,This electric Amazon van is from the FUTURE. 👀,2022-09-15T23:29:31Z
TynsA3kLDGA,Electric car repairs ARE EXPENSIVE!,2023-05-12T12:44:08Z
1xXyW_dX4Ow,The VW ID BUZZ is the ultimate electric family hauler! 🔥,2024-08-07T18:30:02Z
uhEZD1KLM2w,Worlds cheapest electric car - it’s actually amazing,2022-10-11T15:07:38Z
4Vaurco0vC0,My electric car sound better than your v12 #shorts #cars #kia 😈🔥,2022-06-15T02:42:41Z
CtQzbHhgo1c,WARNING China&#39;s Electric Vehicles Are Going To Bankrupt Detroit,2025-04-04T22:11:25Z
ovfCR0DhR1c,Is THIS Honda&#39;s Future EV SUV?,2025-01-08T02:19:41Z
